current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
1,42,83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,27,1997-01-31,Lagos,Nigeria,Netherlands,178 cm,74 kg,false,https://media.api-sports.io/football/players/83.png
1,42,105,F. Ballo-Touré,Fodé,Ballo-Touré,27,1997-01-03,Conflans-Sainte-Honorine,France,Senegal,182 cm,70 kg,false,https://media.api-sports.io/football/players/105.png
1,42,172,D. Alli,Bamidele Jermaine,Alli,28,1996-04-11,Milton Keynes,England,England,188 cm,76 kg,false,https://media.api-sports.io/football/players/172.png
1,42,13109,S. Aluko,Omatsone Folarin,Aluko,35,1989-02-19,London,England,Nigeria,173 cm,72 kg,false,https://media.api-sports.io/football/players/13109.png
1,42,18765,André Gomes,André Filipe,Tavares Gomes,31,1993-07-30,Grijó,Portugal,Portugal,188 cm,84 kg,false,https://media.api-sports.io/football/players/18765.png
1,42,18777,M. Albrighton,Marc Kevin,Albrighton,35,1989-11-18,Tamworth,England,England,175 cm,74 kg,false,https://media.api-sports.io/football/players/18777.png
1,42,18844,J. Tomkins,James Oliver Charles,Tomkins,35,1989-03-29,Basildon,England,England,192 cm,74 kg,false,https://media.api-sports.io/football/players/18844.png
1,42,18853,J. Riedewald,Jaïro Jocquim,Riedewald,28,1996-09-09,Haarlem,Netherlands,Netherlands,182 cm,79 kg,false,https://media.api-sports.io/football/players/18853.png
1,42,19073,B. Godfrey,Benjamin Matthew,Godfrey,26,1998-01-15,York,England,England,183 cm,74 kg,false,https://media.api-sports.io/football/players/19073.png
1,42,19128,J. Harrison,Jack David,Harrison,28,1996-11-20,Stoke-on-Trent,England,England,175 cm,70 kg,false,https://media.api-sports.io/football/players/19128.png
1,42,19145,T. Adarabioyo,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,27,1997-09-24,Manchester,England,England,196 cm,80 kg,false,https://media.api-sports.io/football/players/19145.png
1,42,19657,M. Rodák,Marek,Rodák,28,1996-12-13,Košice,Slovakia,Slovakia,194 cm,81 kg,false,https://media.api-sports.io/football/players/19657.png
1,42,19744,K. Jackson,Kayden Pastel Dunn,Jackson,30,1994-02-22,Bradford,England,England,181 cm,73 kg,false,https://media.api-sports.io/football/players/19744.png
1,42,20224,A. Lonergan,Andrew Michael,Lonergan,41,1983-10-19,Preston,England,England,192 cm,87 kg,false,https://media.api-sports.io/football/players/20224.png
1,42,44803,D. Ball,Dominic Martin,Ball,29,1995-08-02,Welwyn Garden City,England,England,184 cm,75 kg,false,https://media.api-sports.io/football/players/44803.png
